#string_protein_id	preferred_name	protein_size	annotation
59689.Al_scaffold_0001_1000	Al_scaffold_0001_1000	185	Predicted protein
59689.Al_scaffold_0001_1004	Al_scaffold_0001_1004	412	Predicted protein
59689.Al_scaffold_0001_1015	Al_scaffold_0001_1015	214	Predicted protein
59689.Al_scaffold_0001_1024	Al_scaffold_0001_1024	371	Predicted protein
59689.Al_scaffold_0001_1030	Al_scaffold_0001_1030	57	Predicted protein
59689.Al_scaffold_0001_1039	Al_scaffold_0001_1039	539	Predicted protein
59689.Al_scaffold_0001_1041	Al_scaffold_0001_1041	119	Predicted protein
59689.Al_scaffold_0001_1044	Al_scaffold_0001_1044	572	Predicted protein
59689.Al_scaffold_0001_1048	Al_scaffold_0001_1048	150	Predicted protein
59689.Al_scaffold_0001_1061	Al_scaffold_0001_1061	141	Predicted protein
59689.Al_scaffold_0001_1062	Al_scaffold_0001_1062	412	Predicted protein
59689.Al_scaffold_0001_1063	Al_scaffold_0001_1063	85	Predicted protein
59689.Al_scaffold_0001_1066	Al_scaffold_0001_1066	112	Predicted protein
59689.Al_scaffold_0001_1075	Al_scaffold_0001_1075	82	Predicted protein
59689.Al_scaffold_0001_1084	Al_scaffold_0001_1084	263	Predicted protein
59689.Al_scaffold_0001_1095	Al_scaffold_0001_1095	885	Predicted protein; Belongs to the disease resistance NB-LRR family
59689.Al_scaffold_0001_1104	Al_scaffold_0001_1104	438	Predicted protein
59689.Al_scaffold_0001_1106	Al_scaffold_0001_1106	873	Predicted protein
59689.Al_scaffold_0001_1111	Al_scaffold_0001_1111	278	Predicted protein
59689.Al_scaffold_0001_1115	Al_scaffold_0001_1115	386	Predicted protein
59689.Al_scaffold_0001_1118	Al_scaffold_0001_1118	407	Predicted protein
59689.Al_scaffold_0001_1120	Al_scaffold_0001_1120	436	Predicted protein
59689.Al_scaffold_0001_1122	Al_scaffold_0001_1122	81	Predicted protein
59689.Al_scaffold_0001_1125	Al_scaffold_0001_1125	310	Predicted protein
59689.Al_scaffold_0001_113	Al_scaffold_0001_113	77	Predicted protein
59689.Al_scaffold_0001_1131	Al_scaffold_0001_1131	299	Predicted protein
59689.Al_scaffold_0001_1132	Al_scaffold_0001_1132	191	Predicted protein
59689.Al_scaffold_0001_1133	Al_scaffold_0001_1133	822	Predicted protein; G-type lectin S-receptor-like serine/threonine-protein kinase 
59689.Al_scaffold_0001_1137	Al_scaffold_0001_1137	61	Predicted protein
59689.Al_scaffold_0001_1139	Al_scaffold_0001_1139	820	Predicted protein; G-type lectin S-receptor-like serine/threonine-protein kinase 
59689.Al_scaffold_0001_114	Al_scaffold_0001_114	315	Predicted protein
59689.Al_scaffold_0001_1145	Al_scaffold_0001_1145	833	Predicted protein; G-type lectin S-receptor-like serine/threonine-protein kinase 
59689.Al_scaffold_0001_1146	Al_scaffold_0001_1146	273	Predicted protein
59689.Al_scaffold_0001_1151	Al_scaffold_0001_1151	610	Predicted protein
59689.Al_scaffold_0001_1171	Al_scaffold_0001_1171	392	Predicted protein
59689.Al_scaffold_0001_1180	Al_scaffold_0001_1180	63	Predicted protein
59689.Al_scaffold_0001_1186	Al_scaffold_0001_1186	397	Hexosyltransferase; Belongs to the glycosyltransferase 31 family
59689.Al_scaffold_0001_1189	Al_scaffold_0001_1189	414	Predicted protein
59689.Al_scaffold_0001_119	Al_scaffold_0001_119	65	Predicted protein
59689.Al_scaffold_0001_1195	Al_scaffold_0001_1195	484	Predicted protein; Belongs to the glycosyl hydrolase 17 family
59689.Al_scaffold_0001_1209	Al_scaffold_0001_1209	389	Predicted protein
59689.Al_scaffold_0001_1215	Al_scaffold_0001_1215	320	Predicted protein; Belongs to the iron/ascorbate-dependent oxidoreductase family
59689.Al_scaffold_0001_1216	Al_scaffold_0001_1216	120	Predicted protein
59689.Al_scaffold_0001_1228	Al_scaffold_0001_1228	86	Predicted protein
59689.Al_scaffold_0001_1231	Al_scaffold_0001_1231	470	Flavin-containing monooxygenase
59689.Al_scaffold_0001_1233	Al_scaffold_0001_1233	548	Predicted protein
59689.Al_scaffold_0001_1236	Al_scaffold_0001_1236	117	Predicted protein
59689.Al_scaffold_0001_1245	Al_scaffold_0001_1245	146	Predicted protein
59689.Al_scaffold_0001_125	Al_scaffold_0001_125	298	Predicted protein
59689.Al_scaffold_0001_1253	Al_scaffold_0001_1253	317	Predicted protein
59689.Al_scaffold_0001_1268	Al_scaffold_0001_1268	177	Predicted protein
59689.Al_scaffold_0001_1271	Al_scaffold_0001_1271	181	Predicted protein
59689.Al_scaffold_0001_1275	Al_scaffold_0001_1275	572	Predicted protein
59689.Al_scaffold_0001_128	Al_scaffold_0001_128	212	Predicted protein
59689.Al_scaffold_0001_1280	Al_scaffold_0001_1280	447	Predicted protein; Belongs to the membrane-bound acyltransferase family
59689.Al_scaffold_0001_1282	Al_scaffold_0001_1282	313	Predicted protein
59689.Al_scaffold_0001_1283	Al_scaffold_0001_1283	660	Predicted protein
59689.Al_scaffold_0001_1290	Al_scaffold_0001_1290	123	Predicted protein
59689.Al_scaffold_0001_1291	Al_scaffold_0001_1291	118	Predicted protein
59689.Al_scaffold_0001_1293	Al_scaffold_0001_1293	99	Predicted protein
59689.Al_scaffold_0001_1302	Al_scaffold_0001_1302	153	Predicted protein
59689.Al_scaffold_0001_1304	Al_scaffold_0001_1304	330	DNA polymerase that functions in several pathways of DNA repair. Involved in base excision repair (BER) responsible for repair of lesions that give rise to abasic (AP) sites in DNA. Also contributes to DNA double-strand break repair by non-homologous end joining and homologous recombination. Has both template-dependent and template- independent (terminal transferase) DNA polymerase activities. Has also a 5'-deoxyribose-5-phosphate lyase (dRP lyase) activity. 
59689.Al_scaffold_0001_1306	Al_scaffold_0001_1306	282	Predicted protein
59689.Al_scaffold_0001_1307	Al_scaffold_0001_1307	299	Predicted protein
59689.Al_scaffold_0001_1314	Al_scaffold_0001_1314	176	Predicted protein
59689.Al_scaffold_0001_132	Al_scaffold_0001_132	68	Predicted protein
59689.Al_scaffold_0001_1326	Al_scaffold_0001_1326	450	Predicted protein
59689.Al_scaffold_0001_1327	Al_scaffold_0001_1327	181	Predicted protein
59689.Al_scaffold_0001_134	Al_scaffold_0001_134	66	Predicted protein
59689.Al_scaffold_0001_1347	Al_scaffold_0001_1347	113	Predicted protein
59689.Al_scaffold_0001_135	Al_scaffold_0001_135	199	Predicted protein
59689.Al_scaffold_0001_1368	Al_scaffold_0001_1368	187	Predicted protein; Belongs to the peptidase M10A family
59689.Al_scaffold_0001_137	Al_scaffold_0001_137	360	Predicted protein
59689.Al_scaffold_0001_1373	Al_scaffold_0001_1373	269	Predicted protein
59689.Al_scaffold_0001_1374	Al_scaffold_0001_1374	83	Predicted protein
59689.Al_scaffold_0001_1376	Al_scaffold_0001_1376	371	Predicted protein
59689.Al_scaffold_0001_1391	Al_scaffold_0001_1391	380	Predicted protein
59689.Al_scaffold_0001_1393	Al_scaffold_0001_1393	682	Predicted protein
59689.Al_scaffold_0001_1402	Al_scaffold_0001_1402	103	Predicted protein
59689.Al_scaffold_0001_1407	Al_scaffold_0001_1407	804	Predicted protein
59689.Al_scaffold_0001_1413	Al_scaffold_0001_1413	212	Predicted protein
59689.Al_scaffold_0001_1419	Al_scaffold_0001_1419	613	Purple acid phosphatase
59689.Al_scaffold_0001_1420	Al_scaffold_0001_1420	91	Predicted protein
59689.Al_scaffold_0001_1422	Al_scaffold_0001_1422	121	Predicted protein
59689.Al_scaffold_0001_1429	Al_scaffold_0001_1429	216	Predicted protein
59689.Al_scaffold_0001_1446	Al_scaffold_0001_1446	276	Predicted protein
59689.Al_scaffold_0001_1456	Al_scaffold_0001_1456	343	Predicted protein
59689.Al_scaffold_0001_1457	Al_scaffold_0001_1457	511	Predicted protein
59689.Al_scaffold_0001_1470	Al_scaffold_0001_1470	504	Predicted protein; Belongs to the GDA1/CD39 NTPase family
59689.Al_scaffold_0001_1485	Al_scaffold_0001_1485	661	Predicted protein
59689.Al_scaffold_0001_1490	Al_scaffold_0001_1490	114	Predicted protein
59689.Al_scaffold_0001_1499	Al_scaffold_0001_1499	586	Predicted protein
59689.Al_scaffold_0001_1514	Al_scaffold_0001_1514	151	Predicted protein
59689.Al_scaffold_0001_1515	Al_scaffold_0001_1515	778	Predicted protein
59689.Al_scaffold_0001_1517	Al_scaffold_0001_1517	532	Transmembrane 9 superfamily member; Belongs to the nonaspanin (TM9SF) (TC 9.A.2) family
59689.Al_scaffold_0001_1541	Al_scaffold_0001_1541	152	Predicted protein
59689.Al_scaffold_0001_1542	Al_scaffold_0001_1542	79	Predicted protein
59689.Al_scaffold_0001_155	Al_scaffold_0001_155	329	Predicted protein; Belongs to the iron/ascorbate-dependent oxidoreductase family
59689.Al_scaffold_0001_1551	Al_scaffold_0001_1551	144	Predicted protein
59689.Al_scaffold_0001_1560	Al_scaffold_0001_1560	130	Predicted protein
59689.Al_scaffold_0001_1569	Al_scaffold_0001_1569	69	Predicted protein; Cytochrome b-c1 complex subunit 6 
59689.Al_scaffold_0001_1582	Al_scaffold_0001_1582	949	Predicted protein
59689.Al_scaffold_0001_1589	Al_scaffold_0001_1589	444	Predicted protein
59689.Al_scaffold_0001_159	Al_scaffold_0001_159	190	Predicted protein
59689.Al_scaffold_0001_1594	Al_scaffold_0001_1594	263	Predicted protein
59689.Al_scaffold_0001_16	Al_scaffold_0001_16	82	Predicted protein
59689.Al_scaffold_0001_1614	Al_scaffold_0001_1614	322	Predicted protein; Belongs to the iron/ascorbate-dependent oxidoreductase family
59689.Al_scaffold_0001_1622	Al_scaffold_0001_1622	247	Predicted protein
59689.Al_scaffold_0001_1634	Al_scaffold_0001_1634	83	Predicted protein
59689.Al_scaffold_0001_1661	Al_scaffold_0001_1661	738	Predicted protein
59689.Al_scaffold_0001_1667	Al_scaffold_0001_1667	228	Predicted protein
59689.Al_scaffold_0001_1668	Al_scaffold_0001_1668	55	Predicted protein
59689.Al_scaffold_0001_1673	Al_scaffold_0001_1673	680	Predicted protein
59689.Al_scaffold_0001_1675	Al_scaffold_0001_1675	682	Predicted protein
59689.Al_scaffold_0001_1707	Al_scaffold_0001_1707	59	Predicted protein
59689.Al_scaffold_0001_1711	Al_scaffold_0001_1711	164	Predicted protein
59689.Al_scaffold_0001_1715	Al_scaffold_0001_1715	465	Predicted protein
59689.Al_scaffold_0001_1721	Al_scaffold_0001_1721	208	Predicted protein
59689.Al_scaffold_0001_1729	Al_scaffold_0001_1729	1685	Predicted protein
59689.Al_scaffold_0001_173	Al_scaffold_0001_173	220	Predicted protein
59689.Al_scaffold_0001_1732	Al_scaffold_0001_1732	126	50S ribosomal protein L20; Binds directly to 23S ribosomal RNA and is necessary for the in vitro assembly process of the 50S ribosomal subunit. It is not involved in the protein synthesizing functions of that subunit
59689.Al_scaffold_0001_1740	Al_scaffold_0001_1740	741	Predicted protein
59689.Al_scaffold_0001_1753	Al_scaffold_0001_1753	114	Predicted protein
59689.Al_scaffold_0001_1756	Al_scaffold_0001_1756	266	Predicted protein
59689.Al_scaffold_0001_1761	Al_scaffold_0001_1761	302	annotation not available
59689.Al_scaffold_0001_1778	Al_scaffold_0001_1778	197	Predicted protein
59689.Al_scaffold_0001_1780	Al_scaffold_0001_1780	246	Predicted protein
59689.Al_scaffold_0001_1819	Al_scaffold_0001_1819	372	Predicted protein
59689.Al_scaffold_0001_1821	Al_scaffold_0001_1821	183	Predicted protein; Belongs to the universal ribosomal protein uL14 family
59689.Al_scaffold_0001_1827	Al_scaffold_0001_1827	380	Predicted protein
59689.Al_scaffold_0001_183	Al_scaffold_0001_183	217	Predicted protein
59689.Al_scaffold_0001_1832	Al_scaffold_0001_1832	323	Predicted protein
59689.Al_scaffold_0001_1854	Al_scaffold_0001_1854	448	Predicted protein
59689.Al_scaffold_0001_1863	Al_scaffold_0001_1863	207	Predicted protein; Belongs to the GST superfamily
59689.Al_scaffold_0001_1870	Al_scaffold_0001_1870	299	Predicted protein
59689.Al_scaffold_0001_1881	Al_scaffold_0001_1881	579	Mitogen-activated protein kinase
59689.Al_scaffold_0001_1886	Al_scaffold_0001_1886	229	Predicted protein
59689.Al_scaffold_0001_1894	Al_scaffold_0001_1894	181	Predicted protein
59689.Al_scaffold_0001_1895	Al_scaffold_0001_1895	102	Predicted protein
59689.Al_scaffold_0001_1900	Al_scaffold_0001_1900	242	Predicted protein
59689.Al_scaffold_0001_1902	Al_scaffold_0001_1902	169	Predicted protein
59689.Al_scaffold_0001_1903	Al_scaffold_0001_1903	363	Predicted protein
59689.Al_scaffold_0001_1911	Al_scaffold_0001_1911	575	Predicted protein
59689.Al_scaffold_0001_1920	Tetraspanin-16	248	Predicted protein
59689.Al_scaffold_0001_1930	Al_scaffold_0001_1930	450	Predicted protein
59689.Al_scaffold_0001_1932	Al_scaffold_0001_1932	158	Predicted protein
59689.Al_scaffold_0001_1938	Al_scaffold_0001_1938	179	Predicted protein
59689.Al_scaffold_0001_1942	Al_scaffold_0001_1942	57	Predicted protein
59689.Al_scaffold_0001_1944	Al_scaffold_0001_1944	100	Predicted protein
59689.Al_scaffold_0001_1978	Al_scaffold_0001_1978	246	Predicted protein
59689.Al_scaffold_0001_1991	Al_scaffold_0001_1991	220	Predicted protein
59689.Al_scaffold_0001_1997	Al_scaffold_0001_1997	482	Predicted protein; Belongs to the beta-ketoacyl-ACP synthases family
59689.Al_scaffold_0001_200	Al_scaffold_0001_200	493	Predicted protein; Belongs to the glycosyl hydrolase 1 family
59689.Al_scaffold_0001_2011	Al_scaffold_0001_2011	58	Predicted protein
59689.Al_scaffold_0001_2016	Al_scaffold_0001_2016	122	Predicted protein
59689.Al_scaffold_0001_2017	Al_scaffold_0001_2017	804	Predicted protein
59689.Al_scaffold_0001_2020	Al_scaffold_0001_2020	216	Predicted protein
59689.Al_scaffold_0001_2023	Al_scaffold_0001_2023	149	Predicted protein
59689.Al_scaffold_0001_2029	Al_scaffold_0001_2029	1262	Predicted protein
59689.Al_scaffold_0001_203	Al_scaffold_0001_203	228	Predicted protein
59689.Al_scaffold_0001_2039	Al_scaffold_0001_2039	294	Predicted protein
59689.Al_scaffold_0001_2046	Al_scaffold_0001_2046	353	Predicted protein
59689.Al_scaffold_0001_2085	Al_scaffold_0001_2085	121	Predicted protein
59689.Al_scaffold_0001_2086	Al_scaffold_0001_2086	88	Predicted protein
59689.Al_scaffold_0001_21	Al_scaffold_0001_21	67	Predicted protein
59689.Al_scaffold_0001_2100	Al_scaffold_0001_2100	778	Belongs to the peptidase S8 family. 
59689.Al_scaffold_0001_2116	Al_scaffold_0001_2116	286	Predicted protein
59689.Al_scaffold_0001_2117	Al_scaffold_0001_2117	277	Predicted protein
59689.Al_scaffold_0001_2118	Al_scaffold_0001_2118	515	Predicted protein
59689.Al_scaffold_0001_2119	Al_scaffold_0001_2119	393	Predicted protein
59689.Al_scaffold_0001_2120	Al_scaffold_0001_2120	240	Predicted protein
59689.Al_scaffold_0001_2124	Al_scaffold_0001_2124	266	Predicted protein
59689.Al_scaffold_0001_2126	Al_scaffold_0001_2126	91	Predicted protein
59689.Al_scaffold_0001_2128	Al_scaffold_0001_2128	378	Predicted protein
59689.Al_scaffold_0001_2129	Al_scaffold_0001_2129	275	Predicted protein
59689.Al_scaffold_0001_2140	Al_scaffold_0001_2140	221	Predicted protein
59689.Al_scaffold_0001_215	Al_scaffold_0001_215	1287	Predicted protein
59689.Al_scaffold_0001_2152	Al_scaffold_0001_2152	78	Predicted protein
59689.Al_scaffold_0001_2158	Al_scaffold_0001_2158	250	Predicted protein
59689.Al_scaffold_0001_2159	Al_scaffold_0001_2159	184	Predicted protein
59689.Al_scaffold_0001_2160	Al_scaffold_0001_2160	189	Predicted protein
59689.Al_scaffold_0001_2167	Al_scaffold_0001_2167	262	Predicted protein
59689.Al_scaffold_0001_2172	Al_scaffold_0001_2172	451	Predicted protein
59689.Al_scaffold_0001_2183	Al_scaffold_0001_2183	197	Predicted protein
59689.Al_scaffold_0001_2189	Al_scaffold_0001_2189	344	Predicted protein
59689.Al_scaffold_0001_2192	Al_scaffold_0001_2192	185	Predicted protein
59689.Al_scaffold_0001_2193	Al_scaffold_0001_2193	78	Predicted protein
59689.Al_scaffold_0001_2197	Al_scaffold_0001_2197	322	Predicted protein
59689.Al_scaffold_0001_2206	Al_scaffold_0001_2206	590	Predicted protein; Belongs to the GRAS family
59689.Al_scaffold_0001_2209	Al_scaffold_0001_2209	64	Predicted protein
59689.Al_scaffold_0001_2216	Al_scaffold_0001_2216	573	Predicted protein
59689.Al_scaffold_0001_2223	Al_scaffold_0001_2223	277	Predicted protein
59689.Al_scaffold_0001_2227	Al_scaffold_0001_2227	222	Predicted protein
59689.Al_scaffold_0001_2266	Al_scaffold_0001_2266	204	Proteasome subunit beta type; The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH; Belongs to the peptidase T1B family
59689.Al_scaffold_0001_2269	Al_scaffold_0001_2269	274	Predicted protein; Belongs to the leguminous lectin family
59689.Al_scaffold_0001_2273	Al_scaffold_0001_2273	111	Predicted protein
59689.Al_scaffold_0001_2289	Al_scaffold_0001_2289	172	Predicted protein
59689.Al_scaffold_0001_2291	Al_scaffold_0001_2291	206	Predicted protein
59689.Al_scaffold_0001_2296	Al_scaffold_0001_2296	97	Predicted protein
59689.Al_scaffold_0001_2297	Al_scaffold_0001_2297	183	Predicted protein
59689.Al_scaffold_0001_230	Al_scaffold_0001_230	168	Predicted protein
59689.Al_scaffold_0001_2300	Al_scaffold_0001_2300	88	Predicted protein
59689.Al_scaffold_0001_2303	Al_scaffold_0001_2303	115	Predicted protein
59689.Al_scaffold_0001_2309	Al_scaffold_0001_2309	334	Predicted protein
59689.Al_scaffold_0001_2316	Al_scaffold_0001_2316	337	Predicted protein
59689.Al_scaffold_0001_2320	Al_scaffold_0001_2320	335	Predicted protein
59689.Al_scaffold_0001_2321	Al_scaffold_0001_2321	72	Predicted protein
59689.Al_scaffold_0001_2333	Al_scaffold_0001_2333	144	Predicted protein
59689.Al_scaffold_0001_2350	Al_scaffold_0001_2350	96	Predicted protein
59689.Al_scaffold_0001_2367	Al_scaffold_0001_2367	569	Predicted protein
59689.Al_scaffold_0001_2376	Al_scaffold_0001_2376	426	Predicted protein
59689.Al_scaffold_0001_2381	Al_scaffold_0001_2381	240	Predicted protein
59689.Al_scaffold_0001_2383	Al_scaffold_0001_2383	205	Predicted protein
59689.Al_scaffold_0001_239	Al_scaffold_0001_239	117	Involved in splicing regulation. Facilitates post- transcriptional gene silencing (PTGS) by limiting the degradation of transgene aberrant RNAs by the RNA quality control (RQC) machinery, thus favoring their entry into cytoplasmic siRNA bodies where they can trigger PTGS. Does not participate in the production of small RNAs. 
59689.Al_scaffold_0001_2400	Al_scaffold_0001_2400	160	Dirigent protein; Dirigent proteins impart stereoselectivity on the phenoxy radical-coupling reaction, yielding optically active lignans from two molecules of coniferyl alcohol in the biosynthesis of lignans, flavonolignans, and alkaloids and thus plays a central role in plant secondary metabolism
59689.Al_scaffold_0001_2408	Al_scaffold_0001_2408	318	Predicted protein
59689.Al_scaffold_0001_2426	Al_scaffold_0001_2426	273	Predicted protein
59689.Al_scaffold_0001_2427	Al_scaffold_0001_2427	59	Predicted protein
59689.Al_scaffold_0001_2428	Al_scaffold_0001_2428	556	Predicted protein
59689.Al_scaffold_0001_2429	Al_scaffold_0001_2429	96	Predicted protein
59689.Al_scaffold_0001_2437	Al_scaffold_0001_2437	552	In the C-terminal section; belongs to the pectinesterase family
59689.Al_scaffold_0001_2440	Al_scaffold_0001_2440	67	Predicted protein
59689.Al_scaffold_0001_2454	Al_scaffold_0001_2454	450	Protein DETOXIFICATION; Belongs to the multi antimicrobial extrusion (MATE) (TC 2.A.66.1) family
59689.Al_scaffold_0001_2467	Al_scaffold_0001_2467	217	Predicted protein
59689.Al_scaffold_0001_2476	Al_scaffold_0001_2476	317	Predicted protein
59689.Al_scaffold_0001_2486	Extensin-2	243	Predicted protein
59689.Al_scaffold_0001_2487	Al_scaffold_0001_2487	258	Carbonic anhydrase; Reversible hydration of carbon dioxide
59689.Al_scaffold_0001_2489	Al_scaffold_0001_2489	137	Predicted protein
59689.Al_scaffold_0001_2509	Al_scaffold_0001_2509	142	Predicted protein
59689.Al_scaffold_0001_2511	Al_scaffold_0001_2511	81	Predicted protein
59689.Al_scaffold_0001_2517	Al_scaffold_0001_2517	189	Predicted protein
59689.Al_scaffold_0001_2522	Al_scaffold_0001_2522	137	Predicted protein
59689.Al_scaffold_0001_253	Al_scaffold_0001_253	449	Elongation factor Tu; This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis
59689.Al_scaffold_0001_2538	Al_scaffold_0001_2538	179	Predicted protein
59689.Al_scaffold_0001_2540	Al_scaffold_0001_2540	108	Predicted protein
59689.Al_scaffold_0001_2541	Al_scaffold_0001_2541	165	Predicted protein
59689.Al_scaffold_0001_2542	Al_scaffold_0001_2542	89	Predicted protein
59689.Al_scaffold_0001_2543	Al_scaffold_0001_2543	810	Predicted protein
59689.Al_scaffold_0001_2545	Al_scaffold_0001_2545	74	Predicted protein
59689.Al_scaffold_0001_2549	Al_scaffold_0001_2549	81	Predicted protein
59689.Al_scaffold_0001_2550	Al_scaffold_0001_2550	102	Predicted protein
59689.Al_scaffold_0001_2551	Al_scaffold_0001_2551	116	Predicted protein; Belongs to the glycosyl hydrolase 17 family
59689.Al_scaffold_0001_2553	Al_scaffold_0001_2553	90	Predicted protein
59689.Al_scaffold_0001_2554	Al_scaffold_0001_2554	142	Predicted protein
59689.Al_scaffold_0001_2559	Al_scaffold_0001_2559	1488	Predicted protein; Belongs to the disease resistance NB-LRR family
59689.Al_scaffold_0001_2562	Al_scaffold_0001_2562	1385	Predicted protein; Belongs to the disease resistance NB-LRR family
59689.Al_scaffold_0001_2570	Al_scaffold_0001_2570	534	Predicted protein
59689.Al_scaffold_0001_2573	Al_scaffold_0001_2573	457	Predicted protein
59689.Al_scaffold_0001_2574	Al_scaffold_0001_2574	578	Predicted protein
59689.Al_scaffold_0001_2581	Al_scaffold_0001_2581	2618	Predicted protein
59689.Al_scaffold_0001_2590	Al_scaffold_0001_2590	93	Predicted protein
59689.Al_scaffold_0001_2593	Al_scaffold_0001_2593	182	Predicted protein
59689.Al_scaffold_0001_2602	Al_scaffold_0001_2602	122	Predicted protein
